K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
7,0.001,5e-05,32,1,0.000993865542113781,0.4032198190689087,0.62413937
7,0.001,0.0005,32,1,0.0013086465187370777,0.4558630883693695,0.67971045
6,0.001,0.0001,32,1,0.0011312243295833468,0.4062085747718811,0.7131868
7,0.001,1e-05,32,1,0.0009544985950924456,0.3857095539569855,0.71402985
5,0.001,5e-05,32,1,0.0008223108598031104,0.3675895035266876,0.72259235
5,0.001,0.0001,32,1,0.0008985791355371475,0.3816198706626892,0.7309053
8,0.001,0.0005,32,1,0.0014251259854063392,0.47808799147605896,0.74859244
6,0.001,1e-05,32,1,0.0010931575670838356,0.4029563069343567,0.749867
7,0.001,0.0001,32,1,0.0007651488995179534,0.34577223658561707,0.75443184
8,0.001,0.0001,32,1,0.0012376232771202922,0.4488552212715149,0.75579685
5,0.001,1e-05,32,1,0.0008637150749564171,0.3719560503959656,0.77670366
6,0.001,0.0005,32,1,0.0015665849205106497,0.5008931756019592,0.7881901
8,0.001,5e-05,32,2,0.0007328434148803353,0.34136325120925903,0.79269814
8,0.001,1e-05,32,1,0.0010717003606259823,0.4215722978115082,0.79596645
5,0.001,0.0005,32,1,0.0017049835296347737,0.5215211510658264,0.801083
8,0.001,5e-05,32,1,0.0006692165043205023,0.32286539673805237,0.8018909
5,0.001,0.0005,32,2,0.0012996578589081764,0.4494094252586365,0.8313239
8,0.001,0.0005,32,2,0.001600811374373734,0.49292927980422974,0.83155686
8,0.001,0.0005,32,3,0.0012138428865000606,0.4275982975959778,0.8443629
8,0.01,0.0005,64,1,0.0016159152146428823,0.49342089891433716,0.87205034
5,0.001,5e-05,32,2,0.001048897742293775,0.41363853216171265,0.8857857
6,0.001,5e-05,32,1,0.0008320570923388004,0.3755592107772827,0.88981026
7,0.001,1e-05,32,2,0.0006304290727712214,0.3159690201282501,0.8898308
6,0.001,0.0001,32,2,0.001271728309802711,0.44365209341049194,0.9065695
7,0.001,0.0005,128,1,0.001386054209433496,0.45873260498046875,0.9133559
5,0.01,0.0005,64,2,0.002098101656883955,0.5510298609733582,0.919444
6,0.001,0.0005,32,2,0.00173095369245857,0.5324777960777283,0.9419809
5,0.005,0.0005,64,2,0.0018940214067697525,0.5045713186264038,0.95878255
7,0.001,0.0005,32,2,0.0015978351002559066,0.4941951632499695,0.9689027
7,0.001,0.0001,32,2,0.0009727318538352847,0.3867344558238983,0.9708275
5,0.001,0.0001,32,2,0.0008858618093654513,0.3790411353111267,0.99710125
7,0.001,5e-05,32,2,0.0007505413377657533,0.3470364809036255,0.9971097
6,0.01,5e-05,64,2,0.0007446219678968191,0.3389508128166199,1.0254375
7,0.001,0.0001,32,3,0.0014810396824032068,0.4882693588733673,1.0274035
6,0.001,0.0001,64,1,0.001309438026510179,0.46098095178604126,1.0291306
6,0.001,1e-05,32,2,0.0012084763729944825,0.4371168315410614,1.0302063
7,0.001,0.0001,64,2,0.003791065188124776,0.7392880916595459,1.0334419
6,0.01,0.0005,32,2,0.0017293005948886275,0.5210351943969727,1.0335265
8,0.005,0.0005,128,2,0.0011188129428774118,0.4065011739730835,1.0343858
7,0.001,5e-05,64,1,0.0008923294954001904,0.36926698684692383,1.0378624
5,0.001,0.0005,128,1,0.0019078730838373303,0.5349146127700806,1.0443732
6,0.001,5e-05,32,2,0.001139107858762145,0.41800135374069214,1.0479921
5,0.001,0.0001,64,1,0.0009579034522175789,0.382961630821228,1.0532025
7,0.001,0.0005,64,2,0.003866674844175577,0.7561612725257874,1.0575681
6,0.001,1e-05,64,1,0.0013433651765808463,0.46346309781074524,1.0584338
5,0.001,5e-05,64,1,0.0008073581266216934,0.35163062810897827,1.0589248
