K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
7,0.005,5e-05,128,2,0.0007966530392877758,0.3445618748664856,0.5146514177322388
7,0.01,5e-05,32,3,0.0008297436288557947,0.3521104156970978,0.3918648362159729
8,0.005,1e-05,32,2,0.0008294119033962488,0.35382962226867676,0.4296969473361969
8,0.005,1e-05,64,1,0.0008207258651964366,0.35556039214134216,0.3987235426902771
8,0.005,5e-05,128,2,0.0008664948400110006,0.358521044254303,0.3767091929912567
8,0.001,1e-05,128,1,0.0008084661094471812,0.35941895842552185,0.37558290362358093
8,0.005,0.0001,32,1,0.0008284611394628882,0.36192384362220764,0.3918943405151367
8,0.005,5e-05,32,3,0.0008922345004975796,0.3632332384586334,0.3827647864818573
7,0.005,1e-05,128,2,0.000840919092297554,0.36370453238487244,0.42064061760902405
8,0.01,1e-05,64,1,0.00085909926565364,0.36392951011657715,0.3994220495223999
8,0.005,1e-05,32,1,0.0008395270560868084,0.36456388235092163,0.3729439973831177
8,0.005,1e-05,128,1,0.0008114873780868948,0.3655025362968445,0.42122215032577515
8,0.005,1e-05,64,2,0.0008448291919194162,0.3670147657394409,0.3818491995334625
8,0.005,1e-05,32,3,0.0008713723509572446,0.367103636264801,0.39395010471343994
7,0.01,0.0001,64,2,0.0009138322784565389,0.367389053106308,0.479155957698822
7,0.01,1e-05,64,2,0.0009211169672198594,0.36936071515083313,0.3830282390117645
7,0.01,1e-05,128,2,0.0008635231060907245,0.36973440647125244,0.47086644172668457
7,0.005,5e-05,32,3,0.0009292085887864232,0.3715275526046753,0.38661810755729675
7,0.01,5e-05,128,1,0.0008935483056120574,0.37210118770599365,0.374885618686676
7,0.005,0.0001,32,1,0.000913729949388653,0.37312185764312744,0.4354812502861023
8,0.01,1e-05,32,1,0.0009267822606489062,0.37442442774772644,0.44348812103271484
8,0.01,5e-05,32,1,0.0008941635605879128,0.3749714195728302,0.4361298680305481
8,0.01,1e-05,128,2,0.0009016781114041805,0.3752376139163971,0.42654916644096375
8,0.005,5e-05,64,1,0.0009064502082765102,0.3765702545642853,0.3947122395038605
7,0.005,5e-05,128,1,0.000916847784537822,0.3775840699672699,0.46589937806129456
7,0.001,1e-05,128,2,0.0008914847858250141,0.37780317664146423,0.4040100574493408
7,0.005,5e-05,64,2,0.001001668395474553,0.3785642087459564,0.4037923216819763
6,0.001,0.0001,128,1,0.0009733816841617227,0.3786616623401642,0.4387764632701874
7,0.01,1e-05,128,1,0.0009198372135870159,0.37892845273017883,0.48249292373657227
7,0.005,1e-05,64,3,0.0009904655162245035,0.3791193962097168,0.40346139669418335
8,0.01,5e-05,128,1,0.0009266849374398589,0.37967729568481445,0.5139845609664917
8,0.005,0.0001,32,3,0.0009867044864222407,0.37986135482788086,0.4099086821079254
7,0.01,0.0001,64,1,0.0009263762040063739,0.3809632658958435,0.4282582700252533
7,0.001,1e-05,128,1,0.0009337763767689466,0.38139966130256653,0.3920784294605255
7,0.005,1e-05,128,1,0.0009462133166380227,0.3816526532173157,0.37798258662223816
7,0.005,0.0001,64,2,0.0009323313133791089,0.382580041885376,0.42634910345077515
7,0.01,5e-05,64,1,0.0009769088355824351,0.3830913007259369,0.5227225422859192
6,0.01,1e-05,128,2,0.0009302750695496798,0.38434359431266785,0.5807085037231445
8,0.01,1e-05,128,1,0.0009219183120876551,0.3846217691898346,0.4862819314002991
8,0.005,5e-05,32,1,0.0009693923057056963,0.3854438066482544,0.3997856378555298
7,0.01,1e-05,128,3,0.001005534315481782,0.3860975503921509,0.4963938891887665
7,0.005,1e-05,32,3,0.0010088481940329075,0.38670700788497925,0.4284699559211731
8,0.005,1e-05,128,3,0.0009399891714565456,0.3868788480758667,0.4911767840385437
7,0.01,1e-05,32,3,0.0009720162488520145,0.38781118392944336,0.4172910153865814
8,0.005,1e-05,128,2,0.0009645132813602686,0.3881814777851105,0.5179086327552795
8,0.001,1e-05,128,2,0.000981594668701291,0.3900681734085083,0.39731937646865845
7,0.005,5e-05,32,1,0.0009490556549280882,0.390583336353302,0.3802279233932495
7,0.005,0.0001,128,1,0.0010839850874617696,0.39081087708473206,0.39569196105003357
7,0.005,1e-05,64,1,0.0009942138567566872,0.39145249128341675,0.4195611774921417
7,0.001,1e-05,64,3,0.0010130100417882204,0.3921353816986084,0.4359794557094574
7,0.005,1e-05,64,2,0.0009801220148801804,0.3923496901988983,0.4502694308757782
6,0.001,1e-05,128,2,0.0009801104897633195,0.39291247725486755,0.39920705556869507
7,0.001,5e-05,128,3,0.0010520444484427571,0.393362820148468,0.41577258706092834
7,0.001,5e-05,64,3,0.0010110263247042894,0.3947719633579254,0.39636850357055664
7,0.005,5e-05,32,2,0.0011141697177663445,0.3950161635875702,0.43116217851638794
5,0.001,1e-05,64,3,0.001080149319022894,0.3964020609855652,0.41110312938690186
5,0.005,5e-05,64,2,0.0010351381497457623,0.39679577946662903,0.5800708532333374
7,0.001,0.0001,64,3,0.0010891417041420937,0.39729365706443787,0.41330990195274353
7,0.01,0.0001,32,1,0.0010197911178693175,0.3977421522140503,0.44499123096466064
8,0.005,0.0001,64,2,0.0010101214284077287,0.3985120356082916,0.5410919785499573
8,0.005,1e-05,64,3,0.001040458446368575,0.398999959230423,0.43811020255088806
6,0.005,1e-05,32,3,0.0010495696915313601,0.3991432189941406,0.44659993052482605
7,0.005,1e-05,32,2,0.0010189736494794488,0.39927345514297485,0.41117551922798157
8,0.001,1e-05,64,2,0.001035779365338385,0.399292528629303,0.3956148326396942
8,0.001,1e-05,32,2,0.0010302664013579488,0.3996932804584503,0.41277897357940674
6,0.005,1e-05,64,1,0.001035706838592887,0.3996989130973816,0.39730146527290344
6,0.001,1e-05,128,3,0.0010293325176462531,0.401231974363327,0.3913698196411133
5,0.005,1e-05,64,1,0.0011115820379927754,0.4012777507305145,0.4472105801105499
8,0.01,5e-05,32,3,0.0010779823642224073,0.40141767263412476,0.398937463760376
6,0.01,1e-05,32,1,0.0010217474773526192,0.4035910367965698,0.42750266194343567
8,0.001,5e-05,128,2,0.0010458827018737793,0.4036102592945099,0.41636988520622253
7,0.005,5e-05,64,1,0.0010618914384394884,0.4046233594417572,0.4442586898803711
7,0.001,0.0001,128,3,0.0011407542042434216,0.40462955832481384,0.42631497979164124
6,0.005,5e-05,128,1,0.0011275148717686534,0.4048067331314087,0.5575721859931946
7,0.005,0.0001,128,3,0.0011148847406730056,0.40493011474609375,0.4966996908187866
7,0.005,0.0001,128,2,0.0010510727297514677,0.405416876077652,0.4239991307258606
5,0.01,0.0001,32,2,0.0010640161344781518,0.40560182929039,0.4846325218677521
7,0.005,1e-05,32,1,0.0010796126443892717,0.40564823150634766,0.4073547422885895
5,0.005,5e-05,64,3,0.0010815771529451013,0.4058700203895569,0.4712807536125183
5,0.001,5e-05,128,1,0.0011249169474467635,0.4058833718299866,0.45905160903930664
6,0.01,1e-05,64,2,0.0010879794135689735,0.4071958661079407,0.4747890532016754
7,0.001,5e-05,64,2,0.001192503492347896,0.4076635539531708,0.4530693590641022
7,0.001,1e-05,64,2,0.0011678618611767888,0.4076693058013916,0.4461379647254944
7,0.001,1e-05,128,3,0.0010800879681482911,0.4077001214027405,0.3934329152107239
