lr,weight_decay,hidden_channels,dropout,val_loss,val_avg_distance,test_avg_distance
0.001,0.0005,128,0.1,0.0017597039695829153,0.532076895236969,0.45365724
0.005,0.0001,128,0.3,0.001849368098191917,0.5490053296089172,0.456223
0.01,5e-05,128,0.2,0.0017832450103014708,0.5368934273719788,0.47149602
0.01,5e-05,128,0.1,0.0016132157761603594,0.5150400996208191,0.4729795
0.005,0.0001,128,0.2,0.0018645008094608784,0.5560110211372375,0.4751094
0.005,1e-05,128,0.2,0.0019685167353600264,0.5674151182174683,0.47662243
0.01,0.0005,128,0.1,0.0019661178812384605,0.5641917586326599,0.4780164
0.005,5e-05,128,0.2,0.0018103073816746473,0.5438929796218872,0.48112118
0.005,5e-05,128,0.1,0.0017251047538593411,0.5173792839050293,0.48443642
0.01,1e-05,128,0.1,0.0017655788687989116,0.5367236137390137,0.48729473
0.001,0.0001,128,0.1,0.0020579255651682615,0.5731241703033447,0.48749498
0.001,1e-05,128,0.1,0.0021409292239695787,0.5841843485832214,0.49153414
0.005,0.0001,64,0.1,0.0017095232615247369,0.5214095115661621,0.4956813
0.01,1e-05,128,0.2,0.0018962012836709619,0.5554061532020569,0.4967044
0.005,5e-05,64,0.1,0.0017357593169435859,0.5281510353088379,0.4978037
0.01,0.0001,128,0.1,0.0017575190868228674,0.5365625619888306,0.49823302
0.001,5e-05,64,0.1,0.0017899798694998026,0.5341057181358337,0.49906746
0.005,1e-05,128,0.1,0.0017593048978596926,0.5360661149024963,0.49997598
0.001,1e-05,64,0.1,0.0017667623469606042,0.5276967883110046,0.50015163
0.01,0.0001,128,0.2,0.0016114450991153717,0.5113914012908936,0.50317997
0.001,0.0001,64,0.1,0.0018724630353972316,0.5465570092201233,0.50388944
0.001,0.0005,64,0.1,0.0017116484232246876,0.5237361192703247,0.50397515
0.005,1e-05,64,0.1,0.0018085041083395481,0.5458816885948181,0.5044863
0.005,0.0001,128,0.1,0.0017558984691277146,0.5304317474365234,0.50622505
0.01,0.0001,128,0.3,0.0019075199961662292,0.5568623542785645,0.50664854
0.001,5e-05,128,0.1,0.0020936839282512665,0.5818378329277039,0.5075695
0.005,0.0005,128,0.1,0.0017235223203897476,0.5258811712265015,0.5090772
0.01,0.0005,128,0.2,0.0018738819053396583,0.5524062514305115,0.5094571
0.01,1e-05,64,0.1,0.0016856963047757745,0.5211406946182251,0.51022476
0.005,5e-05,64,0.2,0.0018715907353907824,0.5519545078277588,0.5108793
0.01,0.0005,64,0.1,0.0019001519540324807,0.5493583679199219,0.51456
0.005,1e-05,64,0.2,0.0020731831900775433,0.571318507194519,0.51625884
0.005,0.0001,64,0.2,0.0016339803114533424,0.5080686211585999,0.5167299
0.01,0.0005,32,0.1,0.0017884757835417986,0.5340622663497925,0.51753247
0.01,5e-05,32,0.1,0.0016269962070509791,0.4946976602077484,0.51856655
0.005,0.0005,64,0.1,0.0018409760668873787,0.5370057821273804,0.52007896
0.005,0.0001,64,0.3,0.0020253381226211786,0.5665929317474365,0.5219576
0.005,0.0005,128,0.2,0.0019047250971198082,0.5497521162033081,0.5227394
0.01,5e-05,128,0.3,0.002080062171444297,0.5822427272796631,0.5231968
0.001,0.0005,64,0.2,0.0020232016686350107,0.5696966052055359,0.52488285
0.001,1e-05,64,0.2,0.0021005081944167614,0.5794636011123657,0.52497727
0.01,1e-05,64,0.3,0.0024041389115154743,0.6263847947120667,0.5255678
0.001,0.0005,128,0.2,0.0019046012312173843,0.5576926469802856,0.5257899
0.005,0.0001,32,0.1,0.0017447241116315126,0.5209496021270752,0.5276688
0.01,5e-05,64,0.1,0.0015164993237704039,0.4968440532684326,0.5331262
0.001,1e-05,32,0.1,0.0018413768848404288,0.5432276725769043,0.535388
0.005,0.0005,32,0.1,0.0020252957474440336,0.5638185739517212,0.53656864
0.005,1e-05,32,0.1,0.0017584222368896008,0.5316510200500488,0.5376513
0.001,0.0001,64,0.3,0.0021675059106200933,0.590882420539856,0.5377294
0.005,1e-05,128,0.3,0.002258556429296732,0.6083810925483704,0.53861827
0.01,0.0001,32,0.1,0.00168185168877244,0.5032762289047241,0.5387806
0.01,1e-05,32,0.1,0.0019208128796890378,0.5422673225402832,0.54065996
0.005,5e-05,32,0.1,0.0016473708674311638,0.5007616877555847,0.54089487
0.005,5e-05,128,0.3,0.001815360621549189,0.5436400175094604,0.54314274
0.01,1e-05,64,0.2,0.0018015224486589432,0.5399690270423889,0.54440004
0.01,0.0001,64,0.1,0.0016737849218770862,0.5168399810791016,0.5460537
0.005,0.0005,64,0.2,0.0020342643838375807,0.5615753531455994,0.5486687
0.001,5e-05,64,0.2,0.0020105959847569466,0.569839596748352,0.549425
0.001,5e-05,64,0.3,0.0021535884588956833,0.5927335023880005,0.5503282
0.005,1e-05,64,0.3,0.002266440074890852,0.5993552803993225,0.55132544
0.01,0.0005,128,0.3,0.0018448714399710298,0.5380825996398926,0.55372554
0.001,5e-05,32,0.1,0.0018335753120481968,0.5415077209472656,0.5545437
0.001,1e-05,64,0.3,0.002097801072522998,0.57991623878479,0.5588134
0.001,0.0001,32,0.1,0.0019005847861990333,0.5467921495437622,0.5592485
0.01,0.0005,64,0.2,0.0019372616661712527,0.5508469343185425,0.5604063
0.005,0.0005,32,0.2,0.0022807649802416563,0.6005790829658508,0.56090486
0.01,0.0005,64,0.3,0.002078126184642315,0.5748806595802307,0.56130236
0.005,0.0005,128,0.3,0.002142359269782901,0.5866841673851013,0.56291664
0.01,5e-05,64,0.2,0.0018864137819036841,0.5486330986022949,0.5657729
0.001,0.0005,32,0.1,0.002055136952549219,0.5616402626037598,0.56628036
0.01,5e-05,32,0.2,0.002135444898158312,0.5761271715164185,0.5673438
0.001,0.0001,128,0.2,0.0022760727442801,0.6115162968635559,0.56859875
0.001,5e-05,128,0.2,0.002313594799488783,0.6170180439949036,0.56932867
0.001,0.0005,64,0.3,0.002547940006479621,0.6243243217468262,0.5701295
0.005,0.0001,32,0.3,0.0027820290997624397,0.6685072183609009,0.57239807
0.01,1e-05,128,0.3,0.0017853244207799435,0.536160945892334,0.574413
0.01,0.0005,32,0.2,0.0018144716741517186,0.5372262597084045,0.57490236
0.01,0.0001,64,0.2,0.0018145214999094605,0.5450151562690735,0.57713354
0.005,1e-05,32,0.2,0.0022494029253721237,0.6149275302886963,0.57863986
0.01,0.0001,64,0.3,0.0019435244612395763,0.5473169088363647,0.57962304
0.001,0.0005,128,0.3,0.0024125599302351475,0.6312069892883301,0.5799665
0.001,0.0001,64,0.2,0.0024333770852535963,0.6278942823410034,0.5825847
0.01,0.0001,32,0.2,0.0019348720088601112,0.5527456998825073,0.58272576
0.005,5e-05,64,0.3,0.0020906953141093254,0.5740984678268433,0.5845112
0.01,5e-05,32,0.3,0.002101678866893053,0.5738985538482666,0.58575094
0.001,0.0005,32,0.2,0.0023499461822211742,0.606718897819519,0.58637726
0.01,1e-05,32,0.2,0.002294271718710661,0.5979884266853333,0.602703
0.005,5e-05,32,0.2,0.002214382402598858,0.591310441493988,0.6071358
0.001,0.0001,32,0.2,0.002673530485481024,0.6398703455924988,0.6079886
0.005,0.0005,64,0.3,0.0021290965378284454,0.5844883322715759,0.613545
0.005,0.0001,32,0.2,0.0023618151899427176,0.6081250309944153,0.6138187
0.001,1e-05,32,0.2,0.002830581972375512,0.6590885519981384,0.6232632
0.001,5e-05,32,0.2,0.002952869050204754,0.6752840280532837,0.630437
0.005,0.0005,32,0.3,0.002508144360035658,0.6244097352027893,0.6430943
0.005,5e-05,32,0.3,0.0028794477693736553,0.6710046529769897,0.6431618
0.01,0.0005,32,0.3,0.0023124280851334333,0.605444073677063,0.6534134
0.001,1e-05,128,0.2,0.002316373400390148,0.6123769283294678,0.659901
0.005,1e-05,32,0.3,0.003476625308394432,0.7377532720565796,0.66159505
0.001,0.0001,128,0.3,0.0031040883623063564,0.7146878242492676,0.6700175
0.01,0.0001,32,0.3,0.0023166267201304436,0.6181800961494446,0.68190515
0.001,5e-05,128,0.3,0.0033254395239055157,0.7373141050338745,0.6862488
0.01,1e-05,32,0.3,0.0038247082848101854,0.7689900994300842,0.68809575
0.001,0.0005,32,0.3,0.004078398924320936,0.7991048097610474,0.7241422
0.01,5e-05,64,0.3,0.0022030635736882687,0.5936138033866882,0.73403794
0.001,0.0001,32,0.3,0.003998929634690285,0.786115825176239,0.74997085
0.001,5e-05,32,0.3,0.0039817458018660545,0.7826265096664429,0.7576257
0.001,1e-05,32,0.3,0.004039689898490906,0.7898705005645752,0.7609389
0.001,1e-05,128,0.3,0.00344663392752409,0.7527703046798706,0.8207131
