K,lr,weight_decay,hidden_channels,heads,val_avg_distance,test_avg_distance
7,0.001,0.0005,128,3,0.3933870792388916,0.4761638939380646
7,0.001,0.0005,128,2,0.380580872297287,0.47808748483657837
6,0.001,0.0001,128,1,0.3808531165122986,0.480275422334671
6,0.001,0.0005,128,2,0.3987192213535309,0.48260241746902466
6,0.001,0.0005,64,3,0.39398661255836487,0.4827198386192322
6,0.005,0.0005,32,1,0.3896307051181793,0.48391491174697876
7,0.001,5e-05,128,1,0.3788885772228241,0.4862714111804962
7,0.001,0.0005,64,3,0.3805241882801056,0.4865211248397827
8,0.001,0.0001,128,1,0.3663882613182068,0.4868299663066864
8,0.001,0.0005,128,2,0.40161389112472534,0.48867157101631165
6,0.001,5e-05,64,2,0.4436677098274231,0.48910874128341675
5,0.001,0.0005,128,2,0.4178886413574219,0.4895283281803131
6,0.001,5e-05,128,1,0.3900810182094574,0.4899430274963379
7,0.001,0.0001,128,2,0.357809841632843,0.4900130331516266
7,0.001,0.0001,128,3,0.3975587785243988,0.49267077445983887
8,0.001,0.0005,64,3,0.393186092376709,0.493495911359787
7,0.001,0.0005,128,1,0.3779031038284302,0.49395233392715454
7,0.001,1e-05,64,2,0.3828808069229126,0.4939819872379303
6,0.001,0.0005,128,3,0.40482139587402344,0.4951053261756897
7,0.001,0.0001,128,1,0.36202770471572876,0.49581485986709595
6,0.005,0.0005,32,3,0.39079713821411133,0.49608099460601807
7,0.001,1e-05,128,2,0.3617578148841858,0.49613648653030396
5,0.001,0.0005,128,3,0.4201979339122772,0.49640634655952454
5,0.001,0.0001,128,2,0.394724577665329,0.4978642463684082
7,0.005,0.0005,64,2,0.43140339851379395,0.49818772077560425
6,0.001,0.0005,128,1,0.4010591506958008,0.4988079369068146
7,0.005,0.0005,32,1,0.37772297859191895,0.49930113554000854
8,0.001,0.0005,128,1,0.3883175849914551,0.5011886358261108
6,0.001,0.0005,64,2,0.45610713958740234,0.5016142725944519
5,0.01,0.0005,32,2,0.3821512460708618,0.5029382109642029
7,0.01,0.0005,32,3,0.3877923786640167,0.5037255883216858
7,0.001,5e-05,64,2,0.3740667700767517,0.5037264823913574
6,0.001,0.0001,128,2,0.37786561250686646,0.5039985179901123
8,0.01,0.0005,32,1,0.38215088844299316,0.5041875839233398
6,0.001,0.0005,32,1,0.3951430022716522,0.5043582320213318
6,0.001,0.0001,64,2,0.4196398854255676,0.5043684840202332
8,0.005,0.0005,64,2,0.4182356595993042,0.5046960115432739
8,0.005,0.0005,32,1,0.37640315294265747,0.5047661662101746
5,0.001,0.0005,128,1,0.41350939869880676,0.5049392580986023
6,0.001,1e-05,64,2,0.4304350018501282,0.5049404501914978
6,0.001,1e-05,128,1,0.36752840876579285,0.5049508213996887
6,0.005,1e-05,64,2,0.37972304224967957,0.5052435994148254
7,0.001,0.0005,64,2,0.4493767023086548,0.5057047009468079
6,0.01,5e-05,128,1,0.33850985765457153,0.5059753656387329
7,0.005,0.0001,128,2,0.37262701988220215,0.5065469741821289
7,0.01,0.0001,128,1,0.3648461103439331,0.5069671869277954
5,0.001,0.0001,128,1,0.38041794300079346,0.5070310235023499
5,0.005,0.0005,128,1,0.4294154644012451,0.507483959197998
5,0.005,0.0005,64,2,0.43750619888305664,0.5075880289077759
6,0.001,5e-05,128,2,0.356569766998291,0.50859534740448
6,0.001,5e-05,32,3,0.3933119475841522,0.5090621113777161
7,0.005,0.0005,128,2,0.39971739053726196,0.5092036128044128
7,0.001,0.0001,64,3,0.3616296648979187,0.5092179179191589
6,0.01,0.0005,64,3,0.4384867548942566,0.5092786550521851
7,0.001,1e-05,128,1,0.36170753836631775,0.5095189213752747
6,0.005,0.0001,128,1,0.36978912353515625,0.51030433177948
6,0.001,1e-05,32,3,0.39244750142097473,0.5107304453849792
6,0.01,0.0005,128,2,0.439316987991333,0.5112990140914917
5,0.005,1e-05,32,2,0.3753115236759186,0.5113325715065002
6,0.001,0.0001,128,3,0.37055519223213196,0.511343777179718
7,0.001,0.0005,32,3,0.3838740587234497,0.5113941431045532
5,0.005,0.0005,32,1,0.3908802270889282,0.5114010572433472
7,0.001,1e-05,128,3,0.3725070059299469,0.5114325284957886
7,0.001,1e-05,32,3,0.36336976289749146,0.5115912556648254
7,0.001,5e-05,128,2,0.35264062881469727,0.5116565823554993
8,0.001,1e-05,64,2,0.40618202090263367,0.5117998123168945
5,0.001,5e-05,128,1,0.38400620222091675,0.5118710994720459
6,0.001,0.0001,64,3,0.370665967464447,0.5120629072189331
8,0.001,5e-05,128,1,0.3678492307662964,0.5121879577636719
8,0.001,0.0005,128,3,0.4164316654205322,0.5125669240951538
5,0.001,5e-05,64,2,0.43302005529403687,0.5126649141311646
6,0.01,1e-05,32,2,0.3826099932193756,0.512670636177063
7,0.001,0.0001,64,2,0.4330621361732483,0.5127310156822205
7,0.001,5e-05,32,3,0.3701235055923462,0.5130937695503235
8,0.001,0.0005,64,2,0.4273199439048767,0.5133357048034668
8,0.001,0.0001,128,2,0.36846446990966797,0.5134939551353455
8,0.001,0.0001,64,2,0.4132736325263977,0.5136895179748535
8,0.001,1e-05,128,1,0.3697841763496399,0.5137684941291809
5,0.001,0.0005,64,3,0.4160996079444885,0.51406329870224
7,0.001,0.0005,64,1,0.40682899951934814,0.5145031213760376
6,0.005,0.0005,64,2,0.4178532660007477,0.5146164298057556
8,0.001,5e-05,64,2,0.4158649444580078,0.51465904712677
7,0.005,0.0001,32,1,0.3481685221195221,0.5153482556343079
8,0.001,0.0005,64,1,0.41131824254989624,0.5159487724304199
6,0.01,0.0001,64,2,0.3798532485961914,0.515967607498169
6,0.001,5e-05,64,3,0.35927093029022217,0.5160778760910034
8,0.001,0.0005,32,2,0.41245585680007935,0.5161536335945129
7,0.001,0.0005,32,1,0.39383572340011597,0.5161610245704651
5,0.001,0.0001,128,3,0.39164435863494873,0.5162668228149414
7,0.001,5e-05,128,3,0.3859647512435913,0.5164880156517029
8,0.001,0.0005,32,1,0.4066984951496124,0.5167054533958435
7,0.005,0.0005,64,1,0.4070799648761749,0.5167999863624573
8,0.01,0.0005,64,3,0.4246903359889984,0.5170690417289734
7,0.005,0.0005,32,2,0.4043213129043579,0.517077624797821
8,0.001,0.0001,128,3,0.36134758591651917,0.5171436071395874
6,0.001,1e-05,64,3,0.36956846714019775,0.5171467065811157
5,0.001,1e-05,128,1,0.3697473406791687,0.5175369381904602
5,0.001,1e-05,64,2,0.4363113045692444,0.5179605484008789
7,0.01,1e-05,32,2,0.35210472345352173,0.5180661678314209
8,0.001,5e-05,32,2,0.37852829694747925,0.5181630253791809
7,0.001,0.0001,32,3,0.3753095269203186,0.5182628035545349
8,0.005,0.0001,128,1,0.36817553639411926,0.5182763338088989
5,0.005,0.0001,128,1,0.3834964632987976,0.5183188319206238
8,0.001,1e-05,32,1,0.3584628701210022,0.5185065865516663
7,0.005,5e-05,64,2,0.38274556398391724,0.5186391472816467
5,0.001,0.0005,32,2,0.4083124101161957,0.5189085602760315
6,0.001,0.0005,32,3,0.39485371112823486,0.5189318060874939
6,0.01,0.0005,32,1,0.3951077461242676,0.5191302299499512
5,0.001,5e-05,128,2,0.3977259397506714,0.5196936726570129
7,0.01,0.0005,32,1,0.37605947256088257,0.5197893381118774
