lr,weight_decay,hidden_channels,dropout,val_loss,val_avg_distance,test_avg_distance
0.01,0.0001,128,0.2,0.001968441531062126,0.5615408420562744,0.44815388
0.005,1e-05,128,0.2,0.0018461421132087708,0.5452007055282593,0.45805648
0.01,1e-05,128,0.1,0.0017849886789917946,0.5438686609268188,0.45850903
0.005,0.0001,128,0.1,0.0016345116309821606,0.5130878686904907,0.4675843
0.005,1e-05,64,0.1,0.0018585806246846914,0.5549376010894775,0.47188476
0.001,5e-05,128,0.1,0.001954001374542713,0.5612325668334961,0.4779065
0.005,5e-05,64,0.1,0.0018060629954561591,0.5453405976295471,0.480353
0.005,1e-05,128,0.1,0.0018810320179909468,0.5463820099830627,0.48576015
0.005,0.0001,64,0.1,0.0017836886690929532,0.5375510454177856,0.4864636
0.01,0.0005,128,0.1,0.0018349186284467578,0.5442142486572266,0.48725197
0.005,5e-05,128,0.1,0.0018828343600034714,0.5551630258560181,0.48747298
0.01,0.0001,64,0.1,0.0017759749898687005,0.5390151739120483,0.48862493
0.01,0.0001,32,0.1,0.0016258875839412212,0.49695977568626404,0.48931095
0.001,1e-05,128,0.1,0.002142612123861909,0.5922205448150635,0.48989704
0.01,5e-05,128,0.2,0.001959257759153843,0.5688245296478271,0.4901828
0.001,0.0005,128,0.1,0.0017904614796862006,0.5405530333518982,0.49229303
0.005,0.0001,128,0.2,0.0016586020356044173,0.5199437141418457,0.49680507
0.001,0.0005,64,0.1,0.0018077826825901866,0.5359382629394531,0.49821112
0.001,0.0001,128,0.1,0.0019505490781739354,0.5650156736373901,0.50319695
0.01,1e-05,64,0.1,0.0017526443116366863,0.534661054611206,0.5057583
0.005,5e-05,64,0.2,0.0017877189675346017,0.537905216217041,0.50809896
0.01,5e-05,32,0.1,0.0015174488071352243,0.4777117371559143,0.508643
0.01,5e-05,64,0.1,0.001736805192194879,0.5281111001968384,0.50903326
0.005,0.0001,64,0.2,0.0018481884617358446,0.5447551012039185,0.5104872
0.01,5e-05,128,0.1,0.0018978427397087216,0.5563966035842896,0.51090544
0.005,5e-05,128,0.2,0.0018124694470316172,0.5398356914520264,0.5118056
0.005,0.0005,64,0.1,0.001789237023331225,0.5349186062812805,0.5127632
0.005,1e-05,64,0.2,0.001957370201125741,0.5566839575767517,0.51380926
0.005,5e-05,128,0.3,0.0020824680104851723,0.582852840423584,0.51728374
0.001,0.0005,64,0.2,0.0020054318010807037,0.5627273917198181,0.520982
0.005,0.0001,64,0.3,0.0022311718203127384,0.5986732244491577,0.523089
0.01,0.0001,128,0.1,0.0018399463733658195,0.547411322593689,0.5234942
0.01,0.0005,64,0.1,0.0018130486132577062,0.5398144721984863,0.5282195
0.001,0.0005,128,0.2,0.0020428418647497892,0.5804346799850464,0.5288382
0.01,0.0005,32,0.1,0.0019168404396623373,0.5534873604774475,0.52951634
0.001,5e-05,64,0.1,0.0018956082640215755,0.5452314615249634,0.53138614
0.01,1e-05,128,0.2,0.001673289341852069,0.5229024887084961,0.5322067
0.005,0.0001,128,0.3,0.0020976518280804157,0.5836116075515747,0.5330532
0.01,5e-05,128,0.3,0.002088963519781828,0.5776864290237427,0.533121
0.001,0.0001,64,0.1,0.001834365539252758,0.539203405380249,0.535732
0.001,0.0001,64,0.2,0.002161824842914939,0.5873400568962097,0.5373059
0.005,5e-05,64,0.3,0.002233627252280712,0.5934699773788452,0.5412376
0.005,0.0005,32,0.1,0.0020261246245354414,0.5601221919059753,0.5418761
0.005,0.0005,128,0.2,0.002029117662459612,0.5760142803192139,0.54219836
0.005,0.0005,128,0.1,0.0018019448034465313,0.5355854034423828,0.5424109
0.001,1e-05,64,0.1,0.001996826846152544,0.5725833773612976,0.5448088
0.001,0.0005,32,0.1,0.0021296143531799316,0.572126567363739,0.5473029
0.005,1e-05,32,0.2,0.0021385925356298685,0.5792484879493713,0.54772186
0.01,5e-05,32,0.2,0.0019345476757735014,0.5398555994033813,0.54979205
0.001,5e-05,64,0.2,0.0021844797302037477,0.5907177329063416,0.550049
0.005,0.0001,32,0.1,0.0018924383912235498,0.5433570146560669,0.55196244
0.005,0.0001,32,0.2,0.001924868207424879,0.5553125739097595,0.552159
0.01,0.0001,64,0.3,0.0022724445443600416,0.5976386070251465,0.5541011
0.001,0.0001,64,0.3,0.0022194627672433853,0.5947340726852417,0.5546812
0.01,0.0001,32,0.2,0.0019315886311233044,0.5495468974113464,0.5564658
0.005,1e-05,128,0.3,0.0024111992679536343,0.6223355531692505,0.55654365
